NodeIndex,PredictedRiskScore
185,2.062461
186,2.0672908
187,2.071938
188,2.0766811
189,2.0816176
190,2.0864122
191,2.090351
192,2.0928943
193,2.0935183
194,2.0922558
195,2.0889807
196,2.0841732
197,2.0783172
198,2.0722127
199,2.0665975
200,2.0618877
201,2.058244
202,2.0554798
203,2.0537128
204,2.0530925
205,2.054013
206,2.056394
207,2.0601118
208,2.0644462
209,2.068761
210,2.0724757
211,2.0756812
212,2.0784557
213,2.0804646
214,2.08136
215,2.0811095
216,2.0802546
217,2.0788414
218,2.0767102
219,2.073736
220,2.0700893
221,2.0662372
222,2.0626597
223,2.0597858
224,2.0575926
225,2.055802
226,2.0542424
227,2.0528767
228,2.0515218
229,2.0498612
230,2.047772
231,2.0451858
232,2.041739
233,2.037134
234,2.0314927
235,2.0254495
236,2.0191944
237,2.012563
238,2.0054398
239,1.9980853
240,1.990873
241,1.9840202
242,1.9776607
243,1.9718401
244,1.9665158
245,1.9615247
246,1.956609
247,1.951595
248,1.9467278
249,1.942514
250,1.9393606
251,1.9370046
252,1.935216
253,1.9338205
254,1.9330125
255,1.9326475
256,1.9325793
257,1.9327482
258,1.9334581
259,1.9350748
260,1.93767
261,1.9409876
262,1.9444256
263,1.9474761
264,1.9497607
265,1.9511709
266,1.951344
267,1.9496288
268,1.9455745
269,1.9394166
270,1.9318051
271,1.9234543
272,1.9147286
273,1.9060507
274,1.89728
275,1.8882539
276,1.8787787
277,1.8690261
278,1.8591037
279,1.8490404
280,1.8389323
281,1.8294914
282,1.8212054
283,1.8141673
284,1.8076932
285,1.8012714
286,1.794719
287,1.7876952
288,1.7799306
289,1.7717352
290,1.7641182
291,1.7579353
292,1.7529275
293,1.7486982
294,1.7442089
295,1.73967
296,1.7351325
297,1.7312291
298,1.7274594
299,1.7230253
300,1.716892
301,1.7083786
302,1.6971897
303,1.6830568
304,1.6660116
305,1.6460733
306,1.6241528
307,1.6012367
308,1.5774373
309,1.5523831
310,1.5253491
311,1.4972774
312,1.469171
313,1.4420593
314,1.416406
315,1.3927984
316,1.3714639
317,1.3521665
318,1.3353059
319,1.3216052
320,1.3119438
321,1.3057872
322,1.3023089
323,1.2990286
324,1.2961706
325,1.2958137
326,1.3031533
327,1.3184252
328,1.3390052
329,1.3608354
330,1.3826644
331,1.4045553
332,1.4265695
333,1.4486437
334,1.470544
335,1.4920087
336,1.5129908
337,1.533736
338,1.5544902
339,1.575701
340,1.5980396
341,1.6221963
342,1.6485491
343,1.6769812
344,1.707346
345,1.7392406
346,1.7721651
347,1.8058109
348,1.8404057
349,1.8762889
350,1.9131303
351,1.9489362
352,1.9815671
353,2.0095232
354,2.0330772
355,2.0529568
356,2.070014
357,2.0851917
358,2.098947
359,2.1111832
360,2.1203077
361,2.1265996
362,2.131051
363,2.1354852
364,2.139349
365,2.1414645
366,2.1412294
367,2.1392107
