NodeIndex,PredictedRiskScore
1782,0.5261237
1783,0.51679903
1784,0.5075235
1785,0.4996622
1786,0.49334934
1787,0.4880152
1788,0.482994
1789,0.4784706
1790,0.47500136
1791,0.47376457
1792,0.47417185
1793,0.47502658
1794,0.47521922
1795,0.4751216
1796,0.47523654
1797,0.47675267
1798,0.4793773
1799,0.48316357
1800,0.48727307
1801,0.49159697
1802,0.49524394
1803,0.49733028
1804,0.49778518
1805,0.49714047
1806,0.6527009
1807,0.9693869
1808,1.4106352
1809,1.6959317
1810,1.8203712
1811,1.8204601
1812,1.8200045
1813,1.8191352
1814,1.8180003
1815,1.8169494
1816,1.8159974
1817,1.8150699
1818,1.8136727
1819,1.8113271
1820,1.8081367
1821,1.8039424
1822,1.7986692
1823,1.7919207
1824,1.7843924
1825,1.7768612
1826,1.7699322
1827,1.7635782
1828,1.757714
1829,1.7524385
1830,1.7479196
1831,1.744296
1832,1.7414148
1833,1.7390857
1834,1.737107
1835,1.7354941
1836,1.7342099
1837,1.7331383
1838,1.7320669
1839,1.7309742
1840,1.7300339
1841,1.729465
1842,1.7292764
1843,1.729347
1844,1.7294024
1845,1.7290705
1846,1.728103
1847,1.7266488
1848,1.7251068
1849,1.7237058
1850,1.7220991
1851,1.7199585
1852,1.7172859
1853,1.7147515
1854,1.7126685
1855,1.7109267
1856,1.7090261
1857,1.7069381
1858,1.7049782
1859,1.7036219
1860,1.703124
1861,1.7033433
1862,1.7041347
1863,1.7054453
1864,1.7074876
1865,1.7100438
1866,1.7124908
1867,1.7142218
1868,1.7151358
1869,1.7156745
1870,1.7160141
1871,1.7163737
1872,1.7167599
1873,1.7177033
1874,1.7194188
1875,1.7221208
1876,1.7255465
1877,1.7294269
1878,1.7334917
1879,1.7376411
1880,1.7416604
1881,1.7452695
1882,1.7483032
1883,1.7511463
1884,1.7541244
1885,1.7573434
1886,1.7607461
1887,1.7644589
1888,1.7686772
1889,1.7731558
1890,1.7778082
1891,1.7822049
1892,1.7860072
1893,1.7880385
1894,1.7874758
1895,1.7834651
1896,1.7761745
1897,1.7661242
1898,1.7544482
1899,1.7420373
1900,1.7298135
1901,1.7185233
1902,1.708606
1903,1.6998299
1904,1.6916168
1905,1.6837392
1906,1.6764398
1907,1.6704113
1908,1.666226
1909,1.6643261
1910,1.6644464
1911,1.6659697
1912,1.6684763
1913,1.6719368
1914,1.6765308
1915,1.6825937
1916,1.6907468
1917,1.7015748
1918,1.7144748
1919,1.7282968
1920,1.7419889
1921,1.7549409
1922,1.766465
1923,1.7760756
1924,1.7840948
1925,1.7914929
1926,1.7989032
